app_id,player_count,type,is_free,categories,genres,price_jpy,metacritic_score,total_achievements,collected_at
3128770,,game,False,シングルプレイヤー|Steamクラウド|ファミリーシェアリング,アクション|アドベンチャー|カジュアル|インディー|シミュレーション,,,,2026-01-15T15:01:41.652905
1437060,0.0,game,False,シングルプレイヤー|ファミリーシェアリング,アクション|アドベンチャー|RPG|ストラテジー,720.0,,,2026-01-15T15:01:43.152758
565600,0.0,game,False,シングルプレイヤー|ファミリーシェアリング,アドベンチャー|カジュアル,2300.0,,,2026-01-15T15:01:44.607325
3443450,,game,False,シングルプレイヤー|Steam実績|Steamクラウド|ファミリーシェアリング,アドベンチャー|カジュアル|インディー|RPG|シミュレーション,,,,2026-01-15T15:01:46.029949
3968820,,game,True,シングルプレイヤー|キャプション使用可能|カスタム音量調整|難易度の調整|マウスのみのオプション|いつでもセーブ可能|タッチのみのオプション,アクション|インディー|ストラテジー|無料プレイ,0.0,,,2026-01-15T15:01:47.527682
2992740,0.0,game,False,シングルプレイヤー|Steam実績|フルコントローラサポート|ファミリーシェアリング,アドベンチャー|インディー|早期アクセス,235.0,,16.0,2026-01-15T15:01:49.031664
3206290,,game,True,マルチプレイヤー|PvP|オンラインPvP|クロスプラットフォームマルチプレイヤー|アプリ内購入,カジュアル|ストラテジー|無料プレイ,0.0,,,2026-01-15T15:01:50.500783
450060,0.0,game,False,シングルプレイヤー|Steam実績|VR対応|Steamトレーディングカード|VRサポート|部分的コントローラサポート|ファミリーシェアリング,アクション|アドベンチャー|インディー,298.0,,50.0,2026-01-15T15:01:52.030496
2127810,0.0,game,False,シングルプレイヤー|ファミリーシェアリング,カジュアル|インディー|シミュレーション,60.0,,,2026-01-15T15:01:53.478165
1086050,0.0,game,False,シングルプレイヤー|ファミリーシェアリング,カジュアル|インディー|シミュレーション,100.0,,,2026-01-15T15:01:54.969931
4277790,,game,False,シングルプレイヤー|カスタム音量調整|いつでもセーブ可能|ステレオサウンド|ファミリーシェアリング,アクション|アドベンチャー|インディー|シミュレーション|ストラテジー,,,,2026-01-15T15:01:56.425001
2068560,0.0,game,True,シングルプレイヤー,アドベンチャー|カジュアル|無料プレイ,0.0,,,2026-01-15T15:01:58.001762
2115610,0.0,game,False,シングルプレイヤー|ファミリーシェアリング,カジュアル|インディー,470.0,,25.0,2026-01-15T15:01:59.443828
2595410,0.0,game,False,シングルプレイヤー|キーボードのみのオプション|ナレーション付きゲームメニュー|ステレオサウンド|ファミリーシェアリング,アドベンチャー|RPG,320.0,,,2026-01-15T15:02:00.933881
3089960,0.0,game,False,シングルプレイヤー|フルコントローラサポート|Steamクラウド|ファミリーシェアリング,アドベンチャー,1500.0,,10.0,2026-01-15T15:02:02.410154
3669570,1909.0,game,False,シングルプレイヤー|マルチプレイヤー|協力プレイ|オンライン協力プレイ|LAN協力プレイ|Steam実績|Steamクラウド|ファミリーシェアリング,カジュアル|インディー|シミュレーション|ストラテジー|早期アクセス,2000.0,,55.0,2026-01-15T15:02:03.733015
777580,0.0,game,False,シングルプレイヤー|Steam実績|ファミリーシェアリング,インディー,205.0,,22.0,2026-01-15T15:02:05.467266
3655100,,game,False,シングルプレイヤー|Steam実績|フルコントローラサポート|ファミリーシェアリング,アクション|アドベンチャー|インディー,,,,2026-01-15T15:02:06.852589
3303520,,game,False,シングルプレイヤー|フルコントローラサポート|キャプション使用可能|Steamクラウド|ファミリーシェアリング,アドベンチャー|インディー|RPG,,,,2026-01-15T15:02:08.338245
2102500,1.0,game,True,シングルプレイヤー|Steam実績|カスタム音量調整|マウスのみのオプション|時間制限付き入力なしでプレイ可能|いつでもセーブ可能|Steamクラウド|Steamランキング|スマホでRemote Play|タブレットでRemote Play,カジュアル,0.0,,6.0,2026-01-15T15:02:10.105756
709750,0.0,game,False,シングルプレイヤー|Steam実績|フルコントローラサポート|Steamランキング|ファミリーシェアリング,アクション|アドベンチャー|インディー,990.0,,22.0,2026-01-15T15:02:11.679889
916730,0.0,game,False,シングルプレイヤー|Steam実績|フルコントローラサポート|Steamトレーディングカード|Steamクラウド|ファミリーシェアリング,アクション|アドベンチャー|インディー,920.0,79.0,12.0,2026-01-15T15:02:13.424123
2132690,1.0,game,False,シングルプレイヤー|Steam実績|フルコントローラサポート|Steamクラウド|ファミリーシェアリング,アクション|アドベンチャー,2300.0,,15.0,2026-01-15T15:02:14.974240
3454590,261.0,game,False,シングルプレイヤー|Steam実績|Steamクラウド|ファミリーシェアリング,カジュアル|インディー|シミュレーション,350.0,,52.0,2026-01-15T15:02:16.279309
1943560,,game,True,シングルプレイヤー,アドベンチャー|カジュアル|インディー|RPG|ストラテジー|無料プレイ,0.0,,,2026-01-15T15:02:17.696887
2147710,0.0,game,False,シングルプレイヤー|ファミリーシェアリング,アクション|アドベンチャー|インディー|シミュレーション,22000.0,,,2026-01-15T15:02:19.170706
3535730,,game,False,シングルプレイヤー|ファミリーシェアリング,アクション|アドベンチャー|カジュアル|インディー|RPG,,,,2026-01-15T15:02:20.629439
4160290,2.0,game,False,シングルプレイヤー|Steam実績|カスタム音量調整|時間制限付き入力なしでプレイ可能|いつでもセーブ可能|Steamクラウド|ファミリーシェアリング,アドベンチャー|カジュアル|インディー,149.0,,21.0,2026-01-15T15:02:21.947075
701730,0.0,game,False,シングルプレイヤー|Steam実績|キャプション使用可能|Steamクラウド|ファミリーシェアリング,アドベンチャー|インディー,310.0,,7.0,2026-01-15T15:02:23.427430
2076910,0.0,game,True,シングルプレイヤー|フルコントローラサポート,アクション,0.0,,,2026-01-15T15:02:24.859636
